Group_name	Atlas_name	Plates	Region
OrbitalCtx-L	-	-	MO-L VO-L LO-L DLO-L
OrbitalCtx-R	-	-	MO-R VO-R LO-R DLO-R
OrbitalCtx	-	-	MO VO LO DLO
MotorCtx-L	-	-	M1-L M2-L
MotorCtx-R	-	-	M1-R M2-R
MotorCtx	-	-	M1 M2
CingulateCtx-L	-	-	Cg1-L Cg2-L
CingulateCtx-R	-	-	Cg1-R Cg2-R
CingulateCtx	-	-	Cg1 Cg2
LimbicCtx-L	-	-	PrL-L IL-L 
LimbicCtx-R	-	-	PrL-R IL-R
LimbicCtx	-	-	PrL IL
ParietalCtx-L	-	-	PtPD-L PtPR-L
ParietalCtx-R	-	-	PtPD-R PtPR-R
ParietalCtx	-	-	PtPD PtPR
RhinalCtx-L	-	-	Ect-L PRh-L DLEnt-L
RhinalCtx-R	-	-	Ect-R PRh-R DLEnt-R
RhinalCtx	-	-	Ect PRh DLEnt
SomatoSensoryCtx-L	-	-	S1-L S1J-L S1FL-L S1DZ-L S1DZO-L S1ULp-L S1BF-L S1Sh-L S1HL-L S1Tr-L S2-L
SomatoSensoryCtx-R	-	-	S1-R S1J-R S1FL-R S1DZ-R S1DZO-R S1ULp-R S1BF-R S1Sh-R S1HL-R S1Tr-R S2-R
SomatoSensoryCtx	-	-	S1 S1J S1FL S1DZ S1DZO S1ULp S1BF S1Sh S1HL S1Tr S2
InsularCtx-L	-	-	GI-L DI-L AID-L AIV-L AIP-L
InsularCtx-R	-	-	GI-R DI-R AID-R AIV-R AIP-R
InsularCtx	-	-	GI DI AID AIV AIP
CaudatePutamen-L	-	-	CPu-L
CaudatePutamen-R	-	-	CPu-R
CaudatePutamen	-	-	CPu
GlobusPallidus-L	-	-	GP-L
GlobusPallidus-R	-	-	GP-R
GlobusPallidus	-	-	GP
BasalGanglia-L	-	-	CPu-L GP-L VP-L SNR-L AcbC-L LAcbSh-L AcbSh-L LOT1-L LOT2-L LOT3-L AOV-L AOE-L AOVP-L AOP-L AOM-L AOD-L AOL-L GrO-L 
BasalGanglia-R	-	-	CPu-R GP-R VP-R SNR-R AcbC-R LAcbSh-R AcbSh-R LOT1-R LOT2-R LOT3-R AOV-R AOE-R AOVP-R AOP-R AOM-R AOD-R AOL-R GrO-R 
BasalGanglia	-	-	CPu GP VP SNR AcbC LAcbSh AcbSh LOT1 LOT2 LOT3 AOV AOE AOVP AOP AOM AOD AOL GrO
SubstantiaNigra-L	-	-	SNR-L SNL-L SNCD-L SNCV-L SNCM-L
SubstantiaNigra-R	-	-	SNR-R SNL-R SNCD-R SNCV-R SNCM-R
SubstantiaNigra	-	-	SNR SNL SNCD SNCV SNCM
VisualCtx-L	-	-	V1-L V1M-L V1B-L V2MM-L V2ML-L V2L-L
VisualCtx-R	-	-	V1-R V1M-R V1B-R V2MM-R V2ML-R V2L-R
VisualCtx	-	-	V1 V1M V1B V2MM V2ML V2L
AuditoryCtx-L	-	-	AuD-L Au1-L AuV-L
AuditoryCtx-R	-	-	AuD-R Au1-R AuV-R
AuditoryCtx	-	-	AuD Au1 AuV
MammillaryNuclei-L	-	-	DTM-L PMV-L VTM-L PMD-L SMT-L mt-L SuML-L SuMM MnM MM ML-L LM-L pm-L mp-L SuM ML
MammillaryNuclei-R	-	-	DTM-R PMV-R VTM-R PMD-R SMT-R mt-R SuML-R SuMM MnM MM ML-R LM-R pm-R mp-R SuM ML
MammillaryNuclei	-	-	DTM PMV VTM PMD SMT mt SuML ML LM pm mp SuMM MnM MM SuM ML
PiriformCtx-L	-	-	Pir1-L Pir2-L Pir3-L
PiriformCtx-R	-	-	Pir1-R Pir2-R Pir3-R
PiriformCtx	-	-	Pir1 Pir2 Pir3
OlfactoryNuclei-L	-	-	LOT1-L LOT2-L LOT3-L AOVP-L AOP-L AOM-L AOD-L AOL-L AOV-L AOE-L GrO-L
OlfactoryNuclei-R	-	-	LOT1-R LOT2-R LOT3-R AOVP-R AOP-R AOM-R AOD-R AOL-R AOV-R AOE-R GrO-R
OlfactoryNuclei	-	-	LOT1 LOT2 LOT3 AOVP AOP AOM AOD AOL AOV AOE GrO
Ventricules-L	-	-	LV-L chp-L IVF-L 3V chp D3V MRe Aq 
Ventricules-R	-	-	LV-R chp-R IVF-R 3V chp D3V MRe Aq
Ventricules	-	-	LV chp IVF 3V chp D3V MRe Aq
ZonaIncerta-L	-	-	ZIR-L ZI-L ZID-L ZIV-L ZIC-L
ZonaIncerta-R	-	-	ZIR-R ZI-R ZID-R ZIV-R ZIC-R
ZonaIncerta	-	-	ZIR ZI ZID ZIV ZIC
PAG-L	-	-	p1PAG-L LPAG-L DMPAG-L DLPAG-L VLPAG-L VLPAG PlPAG p1PAG
PAG-R	-	-	p1PAG-R LPAG-R DMPAG-R DLPAG-R VLPAG-R VLPAG PlPAG p1PAG
PAG	-	-	p1PAG LPAG DMPAG DLPAG VLPAG VLPAG PlPAG p1PAG
SuperiorColliculus-L	-	-	Zo-L SuG-L Op-L InG-L bsc-L InWh-L DpG-L DpWh-L csc
SuperiorColliculus-R	-	-	Zo-R SuG-R Op-R InG-R bsc-R InWh-R DpG-R DpWh-R csc
SuperiorColliculus	-	-	Zo SuG Op InG bsc InWh DpG DpWh csc
PretectalNuclei-L	-	-	APTD-L APTV-L OPT-L PPT-L MPT-L
PretectalNuclei-R	-	-	APTD-R APTV-R OPT-R PPT-R MPT-R
PretectalNuclei	-	-	APTD APTV OPT PPT MPT
RetrosplenialCtx-L	-	-	RSGc-L RSGb-L RSGa-L RSD-L 
RetrosplenialCtx-R	-	-	RSD-R RSGc-R RSGb-R RSGa-R
RetrosplenialCtx	-	-	RSD RSGc RSGb RSGa
GeniculateNuclei-L	-	-	DLG-L VG-L VG1-L VG2-L VG3-L IGL-L SubG-L MZMG-L MGV-L MGD-L MGM-L SG-L
