Group_name 	 Atlas_name 	 Plates 	 Region
AnteriorAmygdala 	 - 	 - 	 AA!ACo!ASt!CPu!CxA3!Pir3
AnteriorAmygdala 	 - 	 - 	 EA!ns
AnteriorAmygdala 	 - 	 - 	 EAC!EAM
AnteriorAmygdala 	 - 	 - 	 AA!CA3
AnteriorAmygdala 	 - 	 - 	 B!EA
AnteriorAmygdala 	 - 	 - 	 B!st!STIA!sox
AnteriorAmygdala 	 - 	 - 	 EA!AL!sox
AnteriorAmygdala 	 - 	 - 	 EA!B
AnteriorAmygdala 	 - 	 - 	 MeAD!MePD
AnteriorAmygdala 	 - 	 - 	 MeAD!MePV
AnteriorAmygdala 	 - 	 - 	 MeAV!Me
AnteriorAmygdala 	 - 	 - 	 MePD!MePV
AnteriorAmygdala 	 - 	 - 	 AA!CA3
AnteriorAmygdala 	 - 	 - 	 B!EA
AnteriorAmygdala 	 - 	 - 	 B!st!STIA!sox
AnteriorAmygdala 	 - 	 - 	 EA!AL!sox
AnteriorAmygdala 	 - 	 - 	 EA!B
AnteriorAmygdala 	 - 	 - 	 MeAD!MePD
AnteriorAmygdala 	 - 	 - 	 MeAD!MePV
AnteriorAmygdala 	 - 	 - 	 MeAV!Me
AnteriorAmygdala 	 - 	 - 	 MePD!MePV
AnteriorAmygdala-L 	 - 	 - 	 EA-L!ns-R
AnteriorAmygdala-L 	 - 	 - 	 EAC-L!EAM-R
AnteriorAmygdala-L 	 - 	 - 	 EAC-R!EAM-L
AnteriorAmygdala-L 	 - 	 - 	 Pir3-R!CxA3-L!ACo-L!AA-L!ASt-L!CPu-L
AnteriorAmygdala-R 	 - 	 - 	 EA-R!ns-L
AnteriorAmygdala-R 	 - 	 - 	 Pir3-L!CxA3-R!ACo-R!AA-R!ASt-R!CPu-R
BasalGanglia 	 - 	 - 	 AcbSh!CB!CPu!LAcbSh
BasalGanglia 	 - 	 - 	 AcbSh!CPu!LAcbSh
BasalGanglia 	 - 	 - 	 GP!VP
BasalGanglia 	 - 	 - 	 PN!SNR
BasalGanglia 	 - 	 - 	 VP!mfb
BasalGanglia 	 - 	 - 	 AOM!DTr!DEn
BasalGanglia 	 - 	 - 	 AOV!AOVP
BasalGanglia 	 - 	 - 	 AOV!VTT
BasalGanglia 	 - 	 - 	 AcbSh!CB
BasalGanglia 	 - 	 - 	 CPu!LAcbSh
BasalGanglia 	 - 	 - 	 CPu!LAcbSh!mfa!VP
BasalGanglia 	 - 	 - 	 CPu!VP!PLH
BasalGanglia 	 - 	 - 	 E!OV!AOVP
BasalGanglia 	 - 	 - 	 GrO!Mi!IPI
BasalGanglia 	 - 	 - 	 LO!Pir!CPu!LAcbSh
BasalGanglia 	 - 	 - 	 VP!mfba!Tu
BasalGanglia 	 - 	 - 	 mfba!VP
BasalGanglia 	 - 	 - 	 AOM!DTr!DEn
BasalGanglia 	 - 	 - 	 AOV!AOVP
BasalGanglia 	 - 	 - 	 AOV!VTT
BasalGanglia 	 - 	 - 	 AcbSh!CB
BasalGanglia 	 - 	 - 	 CPu!LAcbSh
BasalGanglia 	 - 	 - 	 CPu!LAcbSh!mfa!VP
BasalGanglia 	 - 	 - 	 CPu!VP!PLH
BasalGanglia 	 - 	 - 	 E!OV!AOVP
BasalGanglia 	 - 	 - 	 GrO!Mi!IPI
BasalGanglia 	 - 	 - 	 LO!Pir!CPu!LAcbSh
BasalGanglia 	 - 	 - 	 VP!mfba!Tu
BasalGanglia 	 - 	 - 	 mfba!VP
BasalGanglia-L 	 - 	 - 	 CPu-R!LAcbSh-L!AcbSh-L
BasalGanglia-L 	 - 	 - 	 CPu-R!LAcbSh-L!AcbSh-L!CB-L
BasalGanglia-L 	 - 	 - 	 SNR-L!PN-R
BasalGanglia-L 	 - 	 - 	 VP-L!mfb-R
BasalGanglia-L 	 - 	 - 	 mfb-R!VP-L
BasalGanglia-R 	 - 	 - 	 CPu-L!AcbSh-R!LAcbSh-R
BasalGanglia-R 	 - 	 - 	 CPu-L!LAcbSh-R!AcbSh-R
BasalGanglia-R 	 - 	 - 	 CPu-L!LAcbSh-R!AcbSh-R!CB-R
BasalGanglia-R 	 - 	 - 	 SNR-R!PN-L
BasalGanglia-R 	 - 	 - 	 VP-R!mfb-L
BasalGanglia-R 	 - 	 - 	 mfb-L!VP-R
CA 	 - 	 - 	 !LMol!MoDG!Or!Pir1!Rad
CA 	 - 	 - 	 CA1!CA2!CA3!Rad
CA 	 - 	 - 	 CA1-r!CA2!CA3!Rad
CA 	 - 	 - 	 CA1Rad!CA2Rad!CA3Rad!MoDG
CA 	 - 	 - 	 LMol!MoDG!Or!Rad
CA 	 - 	 - 	 LMol!MoDG!Rad
CA 	 - 	 - 	 LMol!Or
CA 	 - 	 - 	 LMol!Rad
CA 	 - 	 - 	 MoDG!RadCA1!RadCA2!RadCA3
CA 	 - 	 - 	 Or!Rad
CA 	 - 	 - 	 OrCA1!OrCA2!VS
CA 	 - 	 - 	 OrCA3!alv
CA 	 - 	 - 	 PyCA1!PyCA2
CA 	 - 	 - 	 RadCA1!RadCA2
CA 	 - 	 - 	 RadCA1!RadCA2!RadCA3
CA 	 - 	 - 	 RadCA1!RadCa2
CA 	 - 	 - 	 AA!CA1Rad!CA3Rad
CA 	 - 	 - 	 AIV!Pir1!Pir3!CxA1!CxA3!MEnt!CA1Or!CA2Or!CA3Or!DG
CA 	 - 	 - 	 CA1Or!CA1!Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!PoDG!MoDG!LMol
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!DG
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!LMol!Mol
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!MoDG!LMol
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!PoDG
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!PoDG!DG!LMol!MoDG
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!PoDG!Hil
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!PoDG!LMol
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!PoDG!MoDG!LMol
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!SLu!PoDG
CA 	 - 	 - 	 CA1Or!CA2Or!CA3Or
CA 	 - 	 - 	 CA1Py!CA2Py!CA3Py
CA 	 - 	 - 	 CA1Py!CA3Py
CA 	 - 	 - 	 CA1Rad!CA2Rad!CA3Rad
CA 	 - 	 - 	 CA1Rad!CA2Rad!CA3Rad!DG!MoDG!LMol!Hil
CA 	 - 	 - 	 CA1Rad!CA2Rad!CA3Rad!LMol!MoDG!PoDG
CA 	 - 	 - 	 CA1Rad!CA2Rad!CA3Rad!PoDG
CA 	 - 	 - 	 CA1Rad!CA2Rad!CA3Rad!VS
CA 	 - 	 - 	 CA1Rad!CA3Rad!MolDG!vhc
CA 	 - 	 - 	 DS!CA1Or
CA 	 - 	 - 	 DS!CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!PoDG
CA 	 - 	 - 	 DS!CA1Or!CA2Or!CA3Or
CA 	 - 	 - 	 PLCo!LMol!MoDG!PoDG!CA3Or!CA2Or!CA1Or
CA 	 - 	 - 	 AA!CA1Rad!CA3Rad
CA 	 - 	 - 	 AIV!Pir1!Pir3!CxA1!CxA3!MEnt!CA1Or!CA2Or!CA3Or!DG
CA 	 - 	 - 	 CA1Or!CA1!Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!PoDG!MoDG!LMol
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!DG
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!LMol!Mol
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!MoDG!LMol
CA 	 - 	 - 	 CA1Or!CA1Rad!CA2Or!CA2Rad!CA3Or!CA3Rad!PoDG
