Group_name 	 Atlas_name 	 Plates 	 Region
PAG 	 - 	 - 	 3N
Ventricles 	 - 	 - 	 3V
DHypothalamus 	 - 	 - 	 A1
DHypothalamus 	 - 	 - 	 A11
DHypothalamus 	 - 	 - 	 A13
Amygdala 	 - 	 - 	 AA
AmygdaloCortical 	 - 	 - 	 ACo
DThalamus 	 - 	 - 	 AD
VHypothalamus 	 - 	 - 	 AHA
VHypothalamus 	 - 	 - 	 AHC
VHypothalamus 	 - 	 - 	 AHP
AmygdaloHippocampal 	 - 	 - 	 AHi
AmygdaloHippocampal 	 - 	 - 	 AHiAL
AmygdaloHippocampal 	 - 	 - 	 AHiPL
AmygdaloHippocampal 	 - 	 - 	 AHiPM
InsularCortex 	 - 	 - 	 AID
InsularCortex 	 - 	 - 	 AIP
InsularCortex 	 - 	 - 	 AIV
CThalamus 	 - 	 - 	 AM
DThalamus 	 - 	 - 	 AMV
VHypothalamus 	 - 	 - 	 ANS
DThalamus 	 - 	 - 	 APTD
Endopiriform 	 - 	 - 	 APir
Endopiriform 	 - 	 - 	 APir3
DThalamus 	 - 	 - 	 AVDM
DHypothalamus 	 - 	 - 	 AVPe
DThalamus 	 - 	 - 	 AVVL
BasalForebrain 	 - 	 - 	 Acb
BasalForebrain 	 - 	 - 	 AcbSh
PretectalN 	 - 	 - 	 AngT
VHypothalamus 	 - 	 - 	 ArcM
AuCortex 	 - 	 - 	 Au1
AuCortex 	 - 	 - 	 AuD
AuCortex 	 - 	 - 	 Auv
BasalForebrain 	 - 	 - 	 B
Amygdala 	 - 	 - 	 BLA
Amygdala 	 - 	 - 	 BLV
Amygdala 	 - 	 - 	 BMA
Amygdala 	 - 	 - 	 BMP
Amygdala 	 - 	 - 	 BMV
CA1 	 - 	 - 	 CA1
CA2 	 - 	 - 	 CA2
CA3 	 - 	 - 	 CA3
CThalamus 	 - 	 - 	 CL
VThalamus 	 - 	 - 	 CLi
CThalamus 	 - 	 - 	 CM
Striatum 	 - 	 - 	 CPu
AmygdaloCortical 	 - 	 - 	 CXA1
AmygdaloCortical 	 - 	 - 	 CXA2
AmygdaloCortical 	 - 	 - 	 CXA3
Amygdala 	 - 	 - 	 CeC
Amygdala 	 - 	 - 	 CeL
Amygdala 	 - 	 - 	 CeM
CgCortex 	 - 	 - 	 Cg1
CgCortex 	 - 	 - 	 Cg2
Claustrum 	 - 	 - 	 Cl
Ventricles 	 - 	 - 	 D3V
DHypothalamus 	 - 	 - 	 DA
Claustrum 	 - 	 - 	 DCl
DG 	 - 	 - 	 DG
InsularCortex 	 - 	 - 	 DI
EntCortex 	 - 	 - 	 DIEnt
EntCortex 	 - 	 - 	 DLEnt
GeniculateN 	 - 	 - 	 DLG
PAG 	 - 	 - 	 DLPAG
