Group_name 	 Atlas_name 	 Plates 	 Region
Ventricles 	 - 	 - 	 3V
AnteriorAmygdala 	 - 	 - 	 AA
AnteriorAmygdala-L 	 - 	 - 	 AA-L
AnteriorAmygdala-R 	 - 	 - 	 AA-R
AnteriorAmygdala 	 - 	 - 	 ACo
AnteriorAmygdala-L 	 - 	 - 	 ACo-L
AnteriorAmygdala-R 	 - 	 - 	 ACo-R
Thalamus 	 - 	 - 	 AD
Thalamus-L 	 - 	 - 	 AD-L
Thalamus-R 	 - 	 - 	 AD-R
Hypothalamus 	 - 	 - 	 AH
Hypothalamus-L 	 - 	 - 	 AH-L
Hypothalamus-R 	 - 	 - 	 AH-R
Hypothalamus 	 - 	 - 	 AHA
Hypothalamus-L 	 - 	 - 	 AHA-L
Hypothalamus-R 	 - 	 - 	 AHA-R
Hypothalamus 	 - 	 - 	 AHC
Hypothalamus-L 	 - 	 - 	 AHC-L
Hypothalamus-R 	 - 	 - 	 AHC-R
Hypothalamus 	 - 	 - 	 AHP
Hypothalamus-L 	 - 	 - 	 AHP-L
Hypothalamus-R 	 - 	 - 	 AHP-R
AnteriorAmygdala 	 - 	 - 	 AHiAL
AnteriorAmygdala-L 	 - 	 - 	 AHiAL-L
AnteriorAmygdala-R 	 - 	 - 	 AHiAL-R
PosteriorAmygdala 	 - 	 - 	 AHiPL
PosteriorAmygdala-L 	 - 	 - 	 AHiPL-L
PosteriorAmygdala-R 	 - 	 - 	 AHiPL-R
PosteriorAmygdala 	 - 	 - 	 AHiPM
PosteriorAmygdala-L 	 - 	 - 	 AHiPM-L
PosteriorAmygdala-R 	 - 	 - 	 AHiPM-R
InsularCtx 	 - 	 - 	 AID
InsularCtx-L 	 - 	 - 	 AID-L
InsularCtx-R 	 - 	 - 	 AID-R
InsularCtx 	 - 	 - 	 AIP
InsularCtx-L 	 - 	 - 	 AIP-L
InsularCtx-R 	 - 	 - 	 AIP-R
InsularCtx 	 - 	 - 	 AIV
InsularCtx-L 	 - 	 - 	 AIV-L
InsularCtx-R 	 - 	 - 	 AIV-R
Thalamus 	 - 	 - 	 AM
Thalamus-L 	 - 	 - 	 AM-L
Thalamus-R 	 - 	 - 	 AM-R
Thalamus 	 - 	 - 	 AMV
Thalamus-L 	 - 	 - 	 AMV-L
Thalamus-R 	 - 	 - 	 AMV-R
OlfactoryNuclei 	 - 	 - 	 AOD
OlfactoryNuclei-L 	 - 	 - 	 AOD-L
OlfactoryNuclei-R 	 - 	 - 	 AOD-R
OlfactoryNuclei 	 - 	 - 	 AOE
OlfactoryNuclei-L 	 - 	 - 	 AOE-L
OlfactoryNuclei-R 	 - 	 - 	 AOE-R
OlfactoryNuclei 	 - 	 - 	 AOL
OlfactoryNuclei-L 	 - 	 - 	 AOL-L
OlfactoryNuclei-R 	 - 	 - 	 AOL-R
OlfactoryNuclei 	 - 	 - 	 AOM
OlfactoryNuclei-L 	 - 	 - 	 AOM-L
OlfactoryNuclei-R 	 - 	 - 	 AOM-R
OlfactoryNuclei 	 - 	 - 	 AOP
OlfactoryNuclei-L 	 - 	 - 	 AOP-L
OlfactoryNuclei-R 	 - 	 - 	 AOP-R
OlfactoryNuclei 	 - 	 - 	 AOV
OlfactoryNuclei-L 	 - 	 - 	 AOV-L
OlfactoryNuclei-R 	 - 	 - 	 AOV-R
OlfactoryNuclei 	 - 	 - 	 AOVP
OlfactoryNuclei-L 	 - 	 - 	 AOVP-L
OlfactoryNuclei-R 	 - 	 - 	 AOVP-R
PretectalNuclei 	 - 	 - 	 APTD
PretectalNuclei-L 	 - 	 - 	 APTD-L
PretectalNuclei-R 	 - 	 - 	 APTD-R
PretectalNuclei 	 - 	 - 	 APTV
PretectalNuclei-L 	 - 	 - 	 APTV-L
PretectalNuclei-R 	 - 	 - 	 APTV-R
PosteriorAmygdala 	 - 	 - 	 APir
PosteriorAmygdala-L 	 - 	 - 	 APir-L
PosteriorAmygdala-R 	 - 	 - 	 APir-R
Thalamus 	 - 	 - 	 AVDM
Thalamus-L 	 - 	 - 	 AVDM-L
Thalamus-R 	 - 	 - 	 AVDM-R
Thalamus 	 - 	 - 	 AVVL
Thalamus-L 	 - 	 - 	 AVVL-L
Thalamus-R 	 - 	 - 	 AVVL-R
BasalGanglia 	 - 	 - 	 AcbC
BasalGanglia-L 	 - 	 - 	 AcbC-L
BasalGanglia-R 	 - 	 - 	 AcbC-R
BasalGanglia 	 - 	 - 	 AcbSh
BasalGanglia-L 	 - 	 - 	 AcbSh-L
BasalGanglia-R 	 - 	 - 	 AcbSh-R
Ventricles 	 - 	 - 	 Aq
Hypothalamus 	 - 	 - 	 Arc
Hypothalamus-L 	 - 	 - 	 Arc-L
Hypothalamus-R 	 - 	 - 	 Arc-R
Hypothalamus 	 - 	 - 	 ArcD
Hypothalamus-L 	 - 	 - 	 ArcD-L
Hypothalamus-R 	 - 	 - 	 ArcD-R
Hypothalamus 	 - 	 - 	 ArcL
Hypothalamus-L 	 - 	 - 	 ArcL-L
Hypothalamus-R 	 - 	 - 	 ArcL-R
Hypothalamus 	 - 	 - 	 ArcM
Hypothalamus-L 	 - 	 - 	 ArcM-L
Hypothalamus-R 	 - 	 - 	 ArcM-R
Hypothalamus 	 - 	 - 	 ArcMP
Hypothalamus-L 	 - 	 - 	 ArcMP-L
Hypothalamus-R 	 - 	 - 	 ArcMP-R
AuditoryCtx 	 - 	 - 	 Au1
AuditoryCtx-L 	 - 	 - 	 Au1-L
AuditoryCtx-R 	 - 	 - 	 Au1-R
AuditoryCtx 	 - 	 - 	 AuD
AuditoryCtx-L 	 - 	 - 	 AuD-L
AuditoryCtx-R 	 - 	 - 	 AuD-R
AuditoryCtx 	 - 	 - 	 AuV
AuditoryCtx-L 	 - 	 - 	 AuV-L
AuditoryCtx-R 	 - 	 - 	 AuV-R
AnteriorAmygdala 	 - 	 - 	 BAOT
AnteriorAmygdala-L 	 - 	 - 	 BAOT-L
AnteriorAmygdala-R 	 - 	 - 	 BAOT-R
AnteriorAmygdala 	 - 	 - 	 BLA
AnteriorAmygdala-L 	 - 	 - 	 BLA-L
AnteriorAmygdala-R 	 - 	 - 	 BLA-R
PosteriorAmygdala 	 - 	 - 	 BLP
PosteriorAmygdala-L 	 - 	 - 	 BLP-L
PosteriorAmygdala-R 	 - 	 - 	 BLP-R
AnteriorAmygdala 	 - 	 - 	 BLV
AnteriorAmygdala-L 	 - 	 - 	 BLV-L
AnteriorAmygdala-R 	 - 	 - 	 BLV-R
AnteriorAmygdala 	 - 	 - 	 BMA
AnteriorAmygdala-L 	 - 	 - 	 BMA-L
AnteriorAmygdala-R 	 - 	 - 	 BMA-R
PosteriorAmygdala 	 - 	 - 	 BMP
PosteriorAmygdala-L 	 - 	 - 	 BMP-L
PosteriorAmygdala-R 	 - 	 - 	 BMP-R
CA1 	 - 	 - 	 CA1
CA1-L 	 - 	 - 	 CA1-L
CA1-R 	 - 	 - 	 CA1-R
CA1 	 - 	 - 	 CA1Or
CA1-L 	 - 	 - 	 CA1Or-L
CA1-R 	 - 	 - 	 CA1Or-R
CA1 	 - 	 - 	 CA1Py
CA1-L 	 - 	 - 	 CA1Py-L
CA1-R 	 - 	 - 	 CA1Py-R
CA1 	 - 	 - 	 CA1Rad
CA1-L 	 - 	 - 	 CA1Rad-L
CA1-R 	 - 	 - 	 CA1Rad-R
CA2 	 - 	 - 	 CA2
CA2-L 	 - 	 - 	 CA2-L
CA2-R 	 - 	 - 	 CA2-R
CA2 	 - 	 - 	 CA2Or
CA2-L 	 - 	 - 	 CA2Or-L
CA2-R 	 - 	 - 	 CA2Or-R
CA2 	 - 	 - 	 CA2Py
CA2-L 	 - 	 - 	 CA2Py-L
CA2-R 	 - 	 - 	 CA2Py-R
CA2 	 - 	 - 	 CA2Rad
CA2-L 	 - 	 - 	 CA2Rad-L
CA2-R 	 - 	 - 	 CA2Rad-R
CA3 	 - 	 - 	 CA3
CA3-L 	 - 	 - 	 CA3-L
CA3-R 	 - 	 - 	 CA3-R
CA3 	 - 	 - 	 CA3Or
CA3-L 	 - 	 - 	 CA3Or-L
CA3-R 	 - 	 - 	 CA3Or-R
CA3 	 - 	 - 	 CA3Py
CA3-L 	 - 	 - 	 CA3Py-L
CA3-R 	 - 	 - 	 CA3Py-R
CA3 	 - 	 - 	 CA3Rad
CA3-L 	 - 	 - 	 CA3Rad-L
CA3-R 	 - 	 - 	 CA3Rad-R
Thalamus 	 - 	 - 	 CL
Thalamus-L 	 - 	 - 	 CL-L
Thalamus-R 	 - 	 - 	 CL-R
Thalamus 	 - 	 - 	 CM
CaudatePutamen 	 - 	 - 	 CPu
CaudatePutamen-L 	 - 	 - 	 CPu-L
CaudatePutamen-R 	 - 	 - 	 CPu-R
AnteriorAmygdala 	 - 	 - 	 CeC
AnteriorAmygdala-L 	 - 	 - 	 CeC-L
AnteriorAmygdala-R 	 - 	 - 	 CeC-R
AnteriorAmygdala 	 - 	 - 	 CeL
AnteriorAmygdala-L 	 - 	 - 	 CeL-L
AnteriorAmygdala-R 	 - 	 - 	 CeL-R
AnteriorAmygdala 	 - 	 - 	 CeM
AnteriorAmygdala-L 	 - 	 - 	 CeM-L
AnteriorAmygdala-R 	 - 	 - 	 CeM-R
CingulateCtx 	 - 	 - 	 Cg1
CingulateCtx-L 	 - 	 - 	 Cg1-L
CingulateCtx-R 	 - 	 - 	 Cg1-R
CingulateCtx 	 - 	 - 	 Cg2
CingulateCtx-L 	 - 	 - 	 Cg2-L
CingulateCtx-R 	 - 	 - 	 Cg2-R
AnteriorAmygdala 	 - 	 - 	 CxA1
AnteriorAmygdala-L 	 - 	 - 	 CxA1-L
AnteriorAmygdala-R 	 - 	 - 	 CxA1-R
AnteriorAmygdala 	 - 	 - 	 CxA2
