Group_name	Atlas_name	Plates	Region
OrbitalCortex	-	-	MO VO LO DLO
LimbicCortex	-	-	PrL DP IL FR3
CingulateCortex	-	-	Cg1 Cg2
InsularCortex	-	-	DI GI AIP AID AIV
MotorCortex	-	-	M1 M2
SomatosensoryCortex	-	-	S1 S1BF S1Tr S1HL S1FL S1J S1ULp S1Sh S1DZ S1DZO S2
PiriformCortex	-	-	Den Ien Ven Pir1 Pir2 Pir3 APir3 APir RaPir
RetrosplenialCortex	-	-	RSD RSGb RSGa RSGc
ParietalCortex	-	-	PtPR PtPD LPtA MPtA
AuditoryCortex	-	-	Au1 Auv AuD TeA
RhinalCortex	-	-	Ect PRh
EntorhinalCortex	-	-	DLEnt DIEnt VIEnt MEnt
VisualCortex	-	-	V1 V1B V1M V2L V2MM V2ML
Septum	-	-	TS MS LSI LSI1 LSI2 LSI3 LSI4 LSD LSV Ld PLd SHi SHy StHy
DentateGyrus	-	-	MoDG PoDG GrDG
CA1Region	-	-	CA1 OrCA1 CA1Or PyCA1 CA1Py RadCA1 CA1Rad Or Rad SLu LMol
CA2Region	-	-	CA2 OrCA2 CA2Or PyCA2 CA2Py RadCA2 CA2Rad
CA3Region	-	-	CA3 OrCA3 CA3Or PyCA3 CA3Py RadCA3 CA3Rad
Subiculum	-	-	PrS VS DS Post
Fimbria	-	-	SFi fi
Claustrum	-	-	DCl VCl Cl
Striatum	-	-	LSS CPu GP 
NucleusAccumbens	-	-	Acb AcbC AcbSh LAcbSh
SubstantiaNigra	-	-	 SNR SNL SNCD SNCV
SuperiorColliculus	-	-	 SuG Op DpG InWh InG DpWh Zo
DPAG	-	-	PAG LPAG DLPAG DMPAG
VPAG	-	-	VLPAG Dk 3N InC Su3 Lth
DThalamus	-	-	LDVL LDDM AVVL AVDM AMV PT AD IAD LPLC LPLR LPMR LPMC OT DMDL CL CM PC PVA PV PVP AM IAM IMD MD MDC MDM PF RPF str AngT OPC
VThalamus	-	-	PoT Po VPL VPM VPPC VA VL VM VA/VL Re VRe Rh PaXi SubD SubV Sub Xi Eth REth sm eml PIL ml
Habenulla	-	-	LHb LHbM MHb LHbL 
ZonaIncerta	-	-	ZI ZIC ZIR ZID ZIV SubI
PretectalNuclei	-	-	PPT OPT MPT APTD APTV
GeniculateNuclei	-	-	DLG MGV MGD MZMG MGM bic SubG SubB VG VG1 VG2 VG3 IGL SG
ReticularFormation	-	-	Rt mRt p1Rt
AnteriorAmygdala	-	-	CxA1 CxA2 CxA3 AA ACo MeAD BMA I BLA CeM CeC EAC EAM EA MeAV CeL BLV LaDL IM STIA MePD IMG LaVL LaVM AHiAL
PosteriorAmygdala	-	-	PMCO APir AHiPM PLCo BLP BMP AHiPL LA
BasalForebrain	-	-	HDB VDB VP cp EP B IPAC IPACM IPACL Nv mfb PIF IF IPL ICj SIB
StriataTerminalis	-	-	st STIA STMPM STMAL STMAM STLV STLI STMA STMPL STMPI STLD PS
DHypothalamus	-	-	RMC RPC STh scp PaR F A13 A1 A11 PaLM PaMM PaAP PaMP PaPo PaV SPF DA RI SPFPC fr CLi SpA Stg PHA
LHypothalamus	-	-	rs PH PLH PeFLH Pe PeF AVPe PHD JPLH MCLH TuLH
VHypothalamus	-	-	AH AHA AHC AHP LA ANS DMC DMD DMV VLH VMH VMHC VMHSh VMHDM VMHVL Arc ArcD ArcL ArcMP ArcM RRF tth Te
VTegmentalArea	-	-	VTAR PBP PBPI PBPm PN
PreopticArea	-	-	MCPO LPO MPOL MPOM MPA VOLT MnPO PDPO VLPO ESO SO MPO MPOC VMPO
MammillaryNuclei	-	-	SuM SuMM SuML LM ML MM MnM DTM VTM PMV PMD mt smt pm mp
OlfactoryNuclei	-	-	MTu Tu1 Tu2 Tu3 LOT1 LOT2 LOT3 AOVP AOP AOM AOD AOL AOV AOE GrO DTT1 DTT2 DTT3
OptChiasm	-	-	opt SCh SChVM SChDL RCh RChL sox och
CCallosum	-	-	alv fmj fmi dcw dhc ic f cc cg csc pc PrC Pcom ac acp aca MCPC
Ventricles	-	-	D3V 3V LV chp IVF MRe Aq
Vessels	-	-	uppervessel lowervessel ach azac acer mcer basalvessel vessel sinus lhia anteriorvessel
OrbitalCortex-L	-	-	MO-L VO-L LO-L DLO-L
LimbicCortex-L	-	-	PrL-L DP-L IL-L FR3-L
CingulateCortex-L	-	-	Cg1-L Cg2-L
InsularCortex-L	-	-	DI-L GI-L AIP-L AID-L AIV-L
MotorCortex-L	-	-	M1-L M2-L
SomatosensoryCortex-L	-	-	S1-L S1BF-L S1Tr-L S1HL-L S1FL-L S1J-L S1ULp-L S1Sh-L S1DZ-L S1DZO-L S2-L
PiriformCortex-L	-	-	Den-L Ien-L Ven-L Pir1-L Pir2-L Pir3-L APir3-L APir-L RaPir-L
RetrosplenialCortex-L	-	-	RSD-L RSGb-L RSGa-L RSGc-L
ParietalCortex-L	-	-	PtPR-L PtPD-L LPtA-L MPtA-L
AuditoryCortex-L	-	-	Au1-L Auv-L AuD-L TeA-L
RhinalCortex-L	-	-	Ect-L PRh-L
EntorhinalCortex-L	-	-	DLEnt-L DIEnt-L VIEnt-L MEnt-L
VisualCortex-L	-	-	V1-L V1B-L V1M-L V2L-L V2MM-L V2ML-L
Septum-L	-	-	TS-L MS-L LSI-L LSI1-L LSI2-L LSI3-L LSI4-L LSD-L LSV-L Ld-L PLd-L SHi-L SHy-L StHy-L
DentateGyrus-L	-	-	MoDG-L PoDG-L GrDG-L
CA1Region-L	-	-	CA1-L OrCA1-L CA1Or-L PyCA1-L CA1Py-L RadCA1-L CA1Rad-L Or-L Rad-L SLu-L LMol-L
CA2Region-L	-	-	CA2-L OrCA2-L CA2Or-L PyCA2-L CA2Py-L RadCA2-L CA2Rad-L
CA3Region-L	-	-	CA3-L OrCA3-L CA3Or-L PyCA3-L CA3Py-L RadCA3-L CA3Rad-L
Subiculum-L	-	-	PrS-L VS-L DS-L Post-L
Fimbria-L	-	-	SFi-L fi-L
Claustrum-L	-	-	DCl-L VCl-L Cl-L
Striatum-L	-	-	LSS-L CPu-L GP-L 
NucleusAccumbens-L	-	-	Acb-L AcbC-L AcbSh-L LAcbSh-L
SubstantiaNigra-L	-	-	 SNR-L SNL-L SNCD-L SNCV-L
SuperiorColliculus-L	-	-	 SuG-L Op-L DpG-L InWh-L InG-L DpWh-L Zo-L
DPAG-L	-	-	PAG-L LPAG-L DLPAG-L DMPAG-L
VPAG-L	-	-	VLPAG-L Dk-L 3N-L InC-L Su3-L Lth-L
DThalamus-L	-	-	LDVL-L LDDM-L AVVL-L AVDM-L AMV-L PT-L AD-L IAD-L LPLC-L LPLR-L LPMR-L LPMC-L OT-L DMDL-L CL-L CM-L PC-L PVA-L PV-L PVP-L AM-L IAM-L IMD-L MD-L MDC-L MDM-L PF-L RPF-L str-L AngT-L OPC-L
VThalamus-L	-	-	PoT-L Po-L VPL-L VPM-L VPPC-L VA-L VL-L VM-L VA/VL-L Re-L VRe-L Rh-L PaXi-L SubD-L SubV-L Sub-L Xi-L Eth-L REth-L sm-L eml-L PIL-L ml-L
Habenulla-L	-	-	LHb-L LHbM-L MHb-L LHbL-L 
ZonaIncerta-L	-	-	ZI-L ZIC-L ZIR-L ZID-L ZIV-L SubI-L
PretectalNuclei-L	-	-	PPT-L OPT-L MPT-L APTD-L APTV-L
GeniculateNuclei-L	-	-	DLG-L MGV-L MGD-L MZMG-L MGM-L bic-L SubG-L SubB-L VG-L VG1-L VG2-L VG3-L IGL-L SG-L
ReticularFormation-L	-	-	Rt-L mRt-L p1Rt-L
AnteriorAmygdala-L	-	-	CxA1-L CxA2-L CxA3-L AA-L ACo-L MeAD-L BMA-L I-L BLA-L CeM-L CeC-L EAC-L EAM-L EA-L MeAV-L CeL-L BLV-L LaDL-L IM-L STIA-L MePD-L IMG-L LaVL-L LaVM-L AHiAL-L
PosteriorAmygdala-L	-	-	PMCO-L APir-L AHiPM-L PLCo-L BLP-L BMP-L AHiPL-L LA-L
BasalForebrain-L	-	-	HDB-L VDB-L VP-L cp-L EP-L B-L IPAC-L IPACM-L IPACL-L Nv-L mfb-L PIF-L IF-L IPL-L ICj-L SIB-L
StriataTerminalis-L	-	-	st-L STIA-L STMPM-L STMAL-L STMAM-L STLV-L STLI-L STMA-L STMPL-L STMPI-L STLD-L PS-L
DHypothalamus-L	-	-	RMC-L RPC-L STh-L scp-L PaR-L F-L A13-L A1-L A11-L PaLM-L PaMM-L PaAP-L PaMP-L PaPo-L PaV-L SPF-L DA-L RI-L SPFPC-L fr-L CLi-L SpA-L Stg-L PHA-L
LHypothalamus-L	-	-	rs-L PH-L PLH-L PeFLH-L Pe-L PeF-L AVPe-L PHD-L JPLH-L MCLH-L TuLH-L
VHypothalamus-L	-	-	AH-L AHA-L AHC-L AHP-L LA-L ANS-L DMC-L DMD-L DMV-L VLH-L VMH-L VMHC-L VMHSh-L VMHDM-L VMHVL-L Arc-L ArcD-L ArcL-L ArcMP-L ArcM-L RRF-L tth-L Te-L
VTegmentalArea-L	-	-	VTAR-L PBP-L PBPI-L PBPm-L PN-L
PreopticArea-L	-	-	MCPO-L LPO-L MPOL-L MPOM-L MPA-L VOLT-L MnPO-L PDPO-L VLPO-L ESO-L SO-L MPO-L MPOC-L VMPO-L
MammillaryNuclei-L	-	-	SuM-L SuMM-L SuML-L LM-L ML-L MM-L MnM-L DTM-L VTM-L PMV-L PMD-L mt-L smt-L pm-L mp-L
OlfactoryNuclei-L	-	-	MTu-L Tu1-L Tu2-L Tu3-L LOT1-L LOT2-L LOT3-L AOVP-L AOP-L AOM-L AOD-L AOL-L AOV-L AOE-L GrO-L DTT1-L DTT2-L DTT3-L
OptChiasm-L	-	-	opt-L SCh-L SChVM-L SChDL-L RCh-L RChL-L sox-L och-L
CCallosum-L	-	-	alv-L fmj-L fmi-L dcw-L dhc-L ic-L f-L cc-L cg-L csc-L pc-L PrC-L Pcom-L ac-L acp-L aca-L MCPC-L
Ventricles-L	-	-	D3V-L 3V-L LV-L chp-L IVF-L MRe-L Aq-L
Vessels-L	-	-	uppervessel-L lowervessel-L ach-L azac-L acer-L mcer-L basalvessel-L vessel-L sinus-L lhia-L anteriorvessel-L
OrbitalCortex-R	-	-	MO-R VO-R LO-R DLO-R
LimbicCortex-R	-	-	PrL-R DP-R IL-R FR3-R
CingulateCortex-R	-	-	Cg1-R Cg2-R
InsularCortex-R	-	-	DI-R GI-R AIP-R AID-R AIV-R
MotorCortex-R	-	-	M1-R M2-R
SomatosensoryCortex-R	-	-	S1-R S1BF-R S1Tr-R S1HL-R S1FL-R S1J-R S1ULp-R S1Sh-R S1DZ-R S1DZO-R S2-R
PiriformCortex-R	-	-	Den-R Ien-R Ven-R Pir1-R Pir2-R Pir3-R APir3-R APir-R RaPir-R
RetrosplenialCortex-R	-	-	RSD-R RSGb-R RSGa-R RSGc-R
ParietalCortex-R	-	-	PtPR-R PtPD-R LPtA-R MPtA-R
AuditoryCortex-R	-	-	Au1-R Auv-R AuD-R TeA-R
RhinalCortex-R	-	-	Ect-R PRh-R
EntorhinalCortex-R	-	-	DLEnt-R DIEnt-R VIEnt-R MEnt-R
VisualCortex-R	-	-	V1-R V1B-R V1M-R V2L-R V2MM-R V2ML-R
Septum-R	-	-	TS-R MS-R LSI-R LSI1-R LSI2-R LSI3-R LSI4-R LSD-R LSV-R Ld-R PLd-R SHi-R SHy-R StHy-R
DentateGyrus-R	-	-	MoDG-R PoDG-R GrDG-R
CA1Region-R	-	-	CA1-R OrCA1-R CA1Or-R PyCA1-R CA1Py-R RadCA1-R CA1Rad-R Or-R Rad-R SLu-R LMol-R
CA2Region-R	-	-	CA2-R OrCA2-R CA2Or-R PyCA2-R CA2Py-R RadCA2-R CA2Rad-R
CA3Region-R	-	-	CA3-R OrCA3-R CA3Or-R PyCA3-R CA3Py-R RadCA3-R CA3Rad-R
Subiculum-R	-	-	PrS-R VS-R DS-R Post-R
Fimbria-R	-	-	SFi-R fi-R
